arrivals_per_day,arrived,capture_utilisation,experiment,mean_wait_capture_min,mean_wait_specialist_min,n_specialists,n_stations,p90_wait_capture_min,referred,retake_events,retake_prob,reviewed_by_specialist,screened,screened_per_day_per_phc,specialist_backlog,specialist_utilisation
,71.5,0.8277672720878488,retake_sensitivity,12.037070592753189,0.05671833406422085,,,25.388928890677484,164.35,3.175,0.05,164.35,69.4,69.4,0.0,0.16962521036598577
,71.5,0.8594262215455167,retake_sensitivity,16.4244917932583,0.05933328124806345,,,33.49185079299515,165.175,7.1,0.1,165.175,68.225,68.225,0.0,0.17126884039819076
,71.5,0.8828704561272506,retake_sensitivity,19.55163424763301,0.06057073765365291,,,38.86777319525767,164.025,10.05,0.15,164.025,67.025,67.025,0.0,0.1705492751392767
,71.5,0.897110616354847,retake_sensitivity,22.25828902350123,0.06016240396027295,,,42.214174628779645,163.675,12.55,0.2,163.675,66.4,66.4,0.0,0.1700229168480992
,71.5,0.9244829893454612,retake_sensitivity,28.768065669953852,0.05654488931830921,,,54.057143585724,162.925,15.75,0.25,162.925,64.425,64.425,0.0,0.16799774543973706
,71.5,0.934267998485862,retake_sensitivity,32.82217477860816,0.05552879712257364,,,59.86875890389094,162.85,18.6,0.3,162.85,63.025,63.025,0.0,0.1680262828248254
,71.5,0.9484025389857248,retake_sensitivity,39.44193130429521,0.057669651638516284,,,69.74842497326068,162.35,21.875,0.35,162.35,60.85,60.85,0.0,0.16880393814347167
,71.5,0.9610297834045861,retake_sensitivity,45.99943496947794,0.0572785801403386,,,79.8153023880777,161.35,24.8,0.4,161.35,59.375,59.375,0.0,0.16761621981459324
,61.475,0.7833551525897523,stations,10.062068395576055,0.04995790051639894,,1,23.323223342640908,140.9,8.6,,140.9,59.7,59.7,0.0,0.1462106993653903
,61.475,0.4076836963039968,stations,0.7212822182211078,0.04823759956650358,,2,2.72789780594555,140.3,9.475,,140.3,61.25,61.25,0.0,0.14603742332612182
,61.475,0.2691891736275015,stations,0.06617304286502562,0.0480080318602643,,3,0.0025840779995029094,141.875,9.2,,141.875,61.35,61.35,0.0,0.1479129501636376
,61.475,0.2008844255975081,stations,0.009442953850559481,0.04757322242921991,,4,0.0,141.3,9.25,,141.3,61.4,61.4,0.0,0.1473591857264167
,90.45,0.9720371493073175,stations,46.96843698933411,0.08016223029047215,,1,81.03836959405095,209.3,10.425,,209.3,74.825,74.825,0.0,0.21792094933184208
,90.45,0.5918614236848585,stations,1.8104742341240434,0.08396465897600695,,2,6.048972013927882,214.525,13.475,,214.525,90.225,90.225,0.0,0.2236041388542346
,90.45,0.39834969367875034,stations,0.27046449721621324,0.08437385636793567,,3,0.7143107805140507,213.75,13.975,,213.75,90.325,90.325,0.0,0.22143765917849006
,90.45,0.2963145042781895,stations,0.0437194782880493,0.08141325314851988,,4,0.029829565473423643,214.75,13.1,,214.75,90.35,90.35,0.0,0.22127475039727193
,120.625,0.9952253643817883,stations,90.64813170970636,0.1112436555239427,,1,158.48476838735314,270.45,10.825,,270.45,76.0,76.0,0.0,0.2801792979080978
,120.625,0.7765563884758575,stations,4.774509723056815,0.11967265264353702,,2,12.270212818419022,284.35,17.45,,284.35,118.6,118.6,0.0,0.29581740487125396
,120.625,0.5266791755192636,stations,0.6210810708097008,0.11896966428202194,,3,2.4507931379180583,283.525,18.45,,283.525,120.125,120.125,0.0,0.2953918857238001
,120.625,0.3973312361161214,stations,0.14873528583765375,0.12071451848360666,,4,0.28673128553649263,283.475,18.95,,283.475,120.375,120.375,0.0,0.29447338011902496
,61.475,0.7833551525897523,specialists,10.062068395576055,0.04995790051639894,1,,23.323223342640908,140.9,8.6,,140.9,59.7,59.7,0.0,0.1462106993653903
,61.475,0.7798367835717437,specialists,10.143466819096034,0.0016082757199061513,2,,23.24100956081281,141.275,8.7,,141.275,59.6,59.6,0.0,0.07326494652858287
,61.475,0.7807854029999407,specialists,10.246796306602368,6.681919939355294e-05,3,,23.292750700675384,141.225,8.6,,141.225,59.6,59.6,0.0,0.04877364505605259
,61.475,0.7807854029999407,specialists,10.246796306602368,0.0,4,,23.292750700675384,141.225,8.6,,141.225,59.6,59.6,0.0,0.03658023379203944
,61.475,0.7873799820625959,specialists,10.275220464649673,10.908394849393243,1,,23.58261313378872,141.475,9.175,,141.475,59.95,59.95,0.0,0.8879182171178229
,61.475,0.7822947590341929,specialists,10.695720821517494,0.41695171740982495,2,,23.70153950062677,141.7,8.725,,141.7,59.675,59.675,0.0,0.44315623268748994
,61.475,0.7800416507773159,specialists,9.7177420547125,0.05418209583972665,3,,22.44376234418801,141.2,8.325,,141.2,59.625,59.625,0.0,0.292184344859149
,61.475,0.7807226430310746,specialists,10.246251439164084,0.008365179424538646,4,,23.289915512136197,141.225,8.6,,141.225,59.6,59.6,0.0,0.2195015350510424
30,31.125,0.404485986033747,load,2.3028166856760333,0.02302441720568435,,,7.281138344809179,72.55,4.6,,72.55,30.975,30.975,0.0,0.07438929486555071
45,45.7,0.5946859775574579,load,4.567359651708072,0.037671550905578645,,,12.986345016212027,106.975,6.725,,106.975,45.175,45.175,0.0,0.11168432223783124
60,61.475,0.7833551525897523,load,10.062068395576055,0.04995790051639894,,,23.323223342640908,140.9,8.6,,140.9,59.7,59.7,0.0,0.1462106993653903
75,75.9,0.9134618838010334,load,23.02569061916555,0.06584266565327741,,,45.97039083338893,177.7,10.15,,177.7,70.325,70.325,0.0,0.18512841687958953
90,90.45,0.9720371493073175,load,46.96843698933411,0.08016223029047215,,,81.03836959405095,209.3,10.425,,209.3,74.825,74.825,0.0,0.21792094933184208
105,106.05,0.9902594359045838,load,72.45866511198192,0.09191685820991702,,,124.18325842935042,239.45,12.1,,239.45,74.95,74.95,0.0,0.2488592363528901
120,120.625,0.9952253643817883,load,90.64813170970636,0.1112436555239427,,,158.48476838735314,270.45,10.825,,270.45,76.0,76.0,0.0,0.2801792979080978
